maxNonePCDays,minPCDays,lowPercentile,PCPercentile,EPCPercentile,PCLowBound,PCUpBound,Accuracy,F1,Precision,Recall,PercentileUsed,support_start,support_end,Confidence_start,Confidence_end,start_month,end_month,instance_number,location_number,classifier
1,5,0.2,0.6,0.9,0.6,0.9,0.650990099,0.674364896,0.632034632,0.722772277,loc_Individuals.txt,151,268,0.3,1,5,9,404,504,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,151,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.641089109,0.663573086,0.624454148,0.707920792,loc_Individuals.txt,159,268,0.3,1,5,9,404,497,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,159,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.631188119,0.649411765,0.618834081,0.683168317,loc_Individuals.txt,167,268,0.3,1,5,9,404,477,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,167,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.641089109,0.652278177,0.63255814,0.673267327,loc_Individuals.txt,175,268,0.3,1,5,9,404,456,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,175,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.641089109,0.655581948,0.630136986,0.683168317,loc_Individuals.txt,182,268,0.3,1,5,9,404,439,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.594059406,0.596059113,0.593137255,0.599009901,loc_Individuals.txt,182,268,0.35,1,5,9,404,9,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.688118812,0.701421801,0.672727273,0.732673267,loc_Individuals.txt,189,268,0.3,1,5,9,404,411,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.626237624,0.628992629,0.624390244,0.633663366,loc_Individuals.txt,189,268,0.35,1,5,9,404,8,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.626237624,0.636144578,0.61971831,0.653465347,loc_Individuals.txt,197,268,0.3,1,5,9,404,366,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.621287129,0.620347395,0.621890547,0.618811881,loc_Individuals.txt,197,268,0.35,1,5,9,404,6,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.599009901,0.616113744,0.590909091,0.643564356,loc_Individuals.txt,200,268,0.3,1,5,9,404,347,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.621287129,0.620347395,0.621890547,0.618811881,loc_Individuals.txt,200,268,0.35,1,5,9,404,6,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.606435644,0.618705036,0.6,0.638613861,loc_Individuals.txt,205,268,0.3,1,5,9,404,320,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.653465347,0.644670051,0.661458333,0.628712871,loc_Individuals.txt,205,268,0.35,1,5,9,404,5,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.574257426,0.563451777,0.578125,0.54950495,loc_Individuals.txt,211,268,0,1,5,9,404,823,J48
1,5,0.2,0.6,0.9,0.6,0.9,0.584158416,0.586206897,0.583333333,0.589108911,loc_Individuals.txt,211,268,0.3,1,5,9,404,286,J48
